.id,crash_date,crash_time,severity
95,01/01/2024,07:08:00,No injuries
96,01/01/2024,04:30:00,Injured
97,01/01/2024,05:00:00,Injured
98,01/01/2024,21:00:00,No injuries
99,01/01/2024,20:00:00,Injured
100,01/01/2024,18:20:00,No injuries
101,01/01/2024,14:30:00,No injuries
102,01/01/2024,01:40:00,No injuries
103,01/01/2024,07:47:00,No injuries
104,01/01/2024,02:38:00,Injured
105,01/01/2024,03:30:00,Injured
106,01/01/2024,00:40:00,Injured
107,01/01/2024,17:10:00,Injured
108,01/01/2024,14:26:00,Injured
109,01/01/2024,16:31:00,Injured
110,01/01/2024,12:05:00,No injuries
111,01/01/2024,06:12:00,No injuries
112,01/01/2024,04:25:00,No injuries
113,01/01/2024,03:29:00,Injured
114,01/01/2024,05:10:00,No injuries
115,01/01/2024,15:37:00,No injuries
116,01/01/2024,03:30:00,No injuries
117,01/01/2024,03:10:00,No injuries
118,01/01/2024,06:10:00,No injuries
119,01/01/2024,05:20:00,No injuries
120,01/01/2024,06:49:00,Deadly
121,01/01/2024,08:46:00,No injuries
122,01/01/2024,02:35:00,Injured
123,01/01/2024,07:46:00,No injuries
124,01/01/2024,13:20:00,Injured
125,01/01/2024,04:45:00,Injured
126,01/01/2024,04:20:00,Injured
127,01/01/2024,16:44:00,Injured
128,01/01/2024,22:45:00,Injured
129,01/01/2024,14:25:00,Injured
130,01/01/2024,21:30:00,No injuries
131,01/01/2024,07:30:00,Injured
132,01/01/2024,05:00:00,Injured
133,01/01/2024,22:30:00,Injured
134,01/01/2024,03:50:00,Injured
135,01/01/2024,05:30:00,No injuries
136,01/01/2024,13:20:00,No injuries
137,01/01/2024,17:17:00,No injuries
138,01/01/2024,14:15:00,No injuries
139,01/01/2024,02:40:00,Injured
140,01/01/2024,05:30:00,No injuries
141,01/01/2024,02:30:00,Injured
142,01/01/2024,12:28:00,Injured
143,01/01/2024,04:35:00,No injuries
144,01/01/2024,17:05:00,Injured
145,01/01/2024,00:50:00,No injuries
146,01/01/2024,00:29:00,No injuries
147,01/01/2024,02:00:00,No injuries
148,01/01/2024,05:25:00,Injured
149,01/01/2024,15:37:00,No injuries
150,01/01/2024,23:42:00,No injuries
151,01/01/2024,06:45:00,No injuries
152,01/01/2024,09:00:00,No injuries
153,01/01/2024,05:21:00,No injuries
154,01/01/2024,10:09:00,Injured
155,01/01/2024,04:40:00,No injuries
156,01/01/2024,14:00:00,No injuries
157,01/01/2024,23:05:00,No injuries
158,01/01/2024,04:40:00,No injuries
159,01/01/2024,12:30:00,No injuries
160,01/01/2024,03:40:00,Injured
161,01/01/2024,16:20:00,Injured
162,01/01/2024,03:20:00,Injured
163,01/01/2024,21:44:00,Injured
164,01/01/2024,06:45:00,No injuries
165,01/01/2024,04:53:00,No injuries
166,01/01/2024,10:56:00,Injured
167,01/01/2024,09:45:00,Injured
168,01/01/2024,07:05:00,No injuries
169,01/01/2024,06:25:00,Injured
170,01/01/2024,16:34:00,Injured
171,01/01/2024,04:05:00,No injuries
172,01/01/2024,08:12:00,Injured
173,01/01/2024,20:30:00,No injuries
174,01/01/2024,10:05:00,Injured
175,01/01/2024,06:00:00,No injuries
176,01/01/2024,09:30:00,Injured
177,01/01/2024,21:40:00,No injuries
178,01/01/2024,11:00:00,No injuries
179,01/01/2024,21:41:00,Injured
180,01/01/2024,05:06:00,Injured
181,01/01/2024,12:30:00,No injuries
182,01/01/2024,06:40:00,No injuries
183,01/01/2024,06:41:00,Injured
184,01/01/2024,17:05:00,No injuries
185,01/01/2024,03:00:00,No injuries
186,01/01/2024,04:40:00,No injuries
187,01/01/2024,01:41:00,No injuries
188,01/01/2024,20:08:00,No injuries
189,01/01/2024,15:09:00,No injuries
190,01/01/2024,22:22:00,Injured
191,01/01/2024,05:25:00,No injuries
192,01/01/2024,04:00:00,No injuries
193,01/01/2024,20:34:00,Injured
194,01/01/2024,00:47:00,Injured
195,01/01/2024,08:30:00,Injured
196,01/01/2024,21:12:00,No injuries
197,01/01/2024,02:30:00,No injuries
198,01/01/2024,07:15:00,No injuries
199,01/01/2024,18:00:00,No injuries
200,01/01/2024,15:09:00,No injuries
201,01/01/2024,08:25:00,No injuries
202,01/01/2024,12:00:00,No injuries
203,01/01/2024,08:33:00,Injured
204,01/01/2024,00:00:00,Injured
205,01/01/2024,05:39:00,No injuries
206,01/01/2024,13:59:00,No injuries
207,01/01/2024,06:49:00,Injured
208,01/01/2024,02:15:00,No injuries
209,01/01/2024,08:15:00,No injuries
210,01/01/2024,19:13:00,Injured
211,01/01/2024,04:30:00,No injuries
212,01/01/2024,04:39:00,No injuries
213,01/01/2024,04:10:00,No injuries
214,01/01/2024,15:35:00,No injuries
215,01/01/2024,05:11:00,Injured
216,01/01/2024,17:30:00,No injuries
217,01/01/2024,05:23:00,No injuries
218,01/01/2024,04:53:00,Injured
219,01/01/2024,12:16:00,No injuries
220,01/01/2024,09:15:00,No injuries
221,01/01/2024,17:00:00,No injuries
222,01/01/2024,18:00:00,No injuries
223,01/01/2024,13:30:00,No injuries
224,01/01/2024,21:46:00,Deadly
225,01/01/2024,07:49:00,Injured
226,01/01/2024,09:10:00,No injuries
227,01/01/2024,02:00:00,No injuries
228,01/01/2024,18:43:00,No injuries
229,01/01/2024,08:20:00,No injuries
230,01/01/2024,00:00:00,No injuries
231,01/01/2024,04:00:00,No injuries
232,01/01/2024,19:29:00,Injured
233,01/01/2024,11:00:00,Injured
234,01/01/2024,10:18:00,Injured
235,01/01/2024,01:44:00,No injuries
236,01/01/2024,21:00:00,No injuries
237,01/01/2024,17:31:00,Injured
238,01/01/2024,19:00:00,No injuries
239,01/01/2024,03:55:00,No injuries
240,01/01/2024,05:16:00,No injuries
241,01/01/2024,01:35:00,Injured
242,01/01/2024,07:20:00,No injuries
243,01/01/2024,08:00:00,No injuries
244,01/01/2024,19:11:00,No injuries
245,01/01/2024,00:00:00,Injured
246,01/01/2024,17:07:00,No injuries
247,01/01/2024,04:30:00,No injuries
248,01/02/2024,10:10:00,No injuries
249,01/02/2024,22:00:00,Injured
250,01/02/2024,16:20:00,No injuries
251,01/02/2024,06:00:00,No injuries
252,01/02/2024,18:10:00,Injured
253,01/02/2024,23:47:00,Injured
254,01/02/2024,00:20:00,No injuries
255,01/02/2024,06:51:00,Injured
256,01/02/2024,14:30:00,No injuries
257,01/02/2024,06:02:00,Injured
258,01/02/2024,15:50:00,Injured
259,01/02/2024,00:50:00,Injured
260,01/02/2024,19:20:00,Injured
261,01/02/2024,12:19:00,Injured
262,01/02/2024,18:50:00,Injured
263,01/02/2024,18:36:00,Injured
264,01/02/2024,19:50:00,Injured
265,01/02/2024,13:20:00,Injured
266,01/02/2024,17:05:00,No injuries
267,01/02/2024,06:28:00,No injuries
268,01/02/2024,09:40:00,Injured
269,01/02/2024,19:16:00,No injuries
270,01/02/2024,08:55:00,No injuries
271,01/02/2024,14:13:00,No injuries
272,01/02/2024,12:45:00,No injuries
273,01/02/2024,09:40:00,No injuries
274,01/02/2024,18:05:00,No injuries
275,01/02/2024,08:22:00,Injured
276,01/02/2024,18:40:00,No injuries
277,01/02/2024,15:00:00,Injured
278,01/02/2024,00:00:00,No injuries
279,01/02/2024,08:49:00,No injuries
280,01/02/2024,14:37:00,Injured
281,01/02/2024,18:35:00,No injuries
282,01/02/2024,17:39:00,Injured
283,01/02/2024,09:00:00,No injuries
284,01/02/2024,16:36:00,Injured
285,01/02/2024,23:30:00,No injuries
286,01/02/2024,18:40:00,No injuries
287,01/02/2024,22:00:00,Injured
288,01/02/2024,21:51:00,No injuries
289,01/02/2024,06:00:00,No injuries
290,01/02/2024,17:55:00,Injured
291,01/02/2024,00:39:00,Injured
292,01/02/2024,20:34:00,Injured
293,01/02/2024,06:24:00,No injuries
294,01/02/2024,21:20:00,No injuries
295,01/02/2024,07:10:00,No injuries
296,01/02/2024,11:54:00,No injuries
297,01/02/2024,20:56:00,Injured
298,01/02/2024,19:14:00,Injured
299,01/02/2024,11:15:00,No injuries
300,01/02/2024,00:00:00,No injuries
301,01/02/2024,15:40:00,Injured
302,01/02/2024,06:00:00,No injuries
303,01/02/2024,12:30:00,No injuries
304,01/02/2024,21:18:00,No injuries
305,01/02/2024,19:55:00,Injured
306,01/02/2024,08:29:00,No injuries
307,01/02/2024,11:53:00,No injuries
308,01/02/2024,14:05:00,No injuries
309,01/02/2024,17:00:00,Injured
310,01/02/2024,15:15:00,No injuries
311,01/02/2024,05:56:00,Injured
312,01/02/2024,08:40:00,No injuries
313,01/02/2024,22:30:00,No injuries
314,01/02/2024,22:30:00,No injuries
315,01/02/2024,14:15:00,No injuries
316,01/02/2024,08:04:00,No injuries
317,01/02/2024,23:17:00,No injuries
318,01/02/2024,22:30:00,Injured
319,01/02/2024,19:50:00,Injured
320,01/02/2024,06:00:00,No injuries
321,01/02/2024,10:09:00,Injured
322,01/02/2024,17:45:00,Injured
323,01/02/2024,15:27:00,Injured
324,01/02/2024,22:30:00,No injuries
325,01/02/2024,14:45:00,No injuries
326,01/02/2024,13:45:00,No injuries
327,01/02/2024,14:16:00,Injured
328,01/02/2024,07:00:00,No injuries
329,01/02/2024,00:05:00,No injuries
330,01/02/2024,17:30:00,No injuries
331,01/02/2024,10:56:00,Injured
332,01/02/2024,04:54:00,No injuries
333,01/02/2024,19:55:00,No injuries
334,01/02/2024,15:10:00,Injured
335,01/02/2024,12:15:00,Injured
336,01/02/2024,20:44:00,No injuries
337,01/02/2024,17:21:00,No injuries
338,01/02/2024,18:37:00,No injuries
339,01/02/2024,22:00:00,No injuries
340,01/02/2024,08:07:00,No injuries
341,01/02/2024,10:00:00,No injuries
342,01/02/2024,11:47:00,No injuries
343,01/02/2024,04:57:00,No injuries
344,01/02/2024,03:00:00,No injuries
345,01/02/2024,15:55:00,No injuries
346,01/02/2024,21:05:00,No injuries
347,01/02/2024,12:10:00,No injuries
348,01/02/2024,15:30:00,No injuries
349,01/02/2024,09:25:00,Injured
350,01/02/2024,20:37:00,No injuries
351,01/02/2024,14:00:00,No injuries
352,01/02/2024,21:55:00,No injuries
353,01/02/2024,00:35:00,No injuries
354,01/02/2024,17:45:00,Injured
355,01/02/2024,19:48:00,No injuries
356,01/02/2024,06:25:00,No injuries
357,01/02/2024,19:34:00,Injured
358,01/02/2024,13:36:00,Injured
359,01/02/2024,19:25:00,Injured
360,01/02/2024,17:56:00,No injuries
361,01/02/2024,06:30:00,Injured
362,01/02/2024,11:00:00,No injuries
363,01/02/2024,16:30:00,Injured
364,01/02/2024,11:19:00,Injured
365,01/02/2024,13:00:00,No injuries
366,01/02/2024,17:21:00,No injuries
367,01/02/2024,16:20:00,Injured
368,01/02/2024,19:52:00,Injured
369,01/02/2024,09:45:00,No injuries
370,01/02/2024,20:35:00,No injuries
371,01/02/2024,12:45:00,No injuries
372,01/02/2024,03:42:00,Injured
373,01/02/2024,18:15:00,No injuries
374,01/02/2024,01:00:00,No injuries
375,01/02/2024,15:20:00,Injured
376,01/02/2024,20:30:00,No injuries
377,01/02/2024,08:45:00,Injured
378,01/02/2024,14:30:00,Injured
379,01/02/2024,18:00:00,No injuries
380,01/02/2024,19:00:00,No injuries
381,01/02/2024,23:26:00,No injuries
382,01/02/2024,14:40:00,Injured
383,01/02/2024,20:02:00,No injuries
384,01/02/2024,08:30:00,Injured
385,01/02/2024,18:00:00,No injuries
386,01/02/2024,13:09:00,No injuries
387,01/02/2024,09:15:00,No injuries
388,01/02/2024,22:10:00,Injured
389,01/02/2024,12:57:00,Injured
390,01/02/2024,21:33:00,No injuries
391,01/02/2024,08:00:00,No injuries
392,01/02/2024,16:25:00,No injuries
393,01/02/2024,07:20:00,No injuries
394,01/02/2024,20:40:00,No injuries
395,01/02/2024,06:35:00,No injuries
396,01/02/2024,22:30:00,No injuries
397,01/02/2024,21:50:00,Injured
398,01/02/2024,18:35:00,Injured
399,01/02/2024,11:40:00,Injured
400,01/02/2024,23:57:00,Injured
401,01/02/2024,16:05:00,Injured
402,01/02/2024,11:11:00,No injuries
403,01/02/2024,00:18:00,Injured
404,01/02/2024,10:50:00,No injuries
405,01/02/2024,17:15:00,No injuries
406,01/02/2024,05:05:00,Injured
407,01/02/2024,20:22:00,No injuries
408,01/02/2024,16:00:00,Injured
409,01/02/2024,11:10:00,No injuries
410,01/02/2024,06:11:00,No injuries
411,01/02/2024,23:10:00,No injuries
412,01/02/2024,06:11:00,No injuries
413,01/02/2024,06:30:00,Injured
414,01/02/2024,12:33:00,Injured
415,01/02/2024,13:03:00,Injured
416,01/02/2024,15:50:00,No injuries
417,01/02/2024,07:15:00,No injuries
418,01/02/2024,14:33:00,No injuries
419,01/02/2024,22:10:00,Injured
420,01/02/2024,22:00:00,Injured
421,01/02/2024,20:45:00,Injured
422,01/02/2024,10:15:00,No injuries
423,01/02/2024,08:11:00,No injuries
424,01/02/2024,13:50:00,Injured
425,01/02/2024,14:00:00,No injuries
426,01/02/2024,08:00:00,No injuries
427,01/02/2024,01:10:00,No injuries
428,01/02/2024,00:54:00,Injured
429,01/02/2024,07:40:00,No injuries
430,01/02/2024,05:30:00,No injuries
431,01/02/2024,08:04:00,Injured
432,01/02/2024,03:42:00,Injured
433,01/02/2024,20:00:00,No injuries
434,01/02/2024,06:15:00,No injuries
435,01/02/2024,14:30:00,Injured
436,01/02/2024,18:00:00,Injured
437,01/02/2024,01:06:00,No injuries
438,01/02/2024,21:11:00,No injuries
439,01/02/2024,16:40:00,No injuries
440,01/02/2024,08:40:00,Injured
441,01/02/2024,06:30:00,No injuries
442,01/02/2024,15:20:00,Injured
443,01/02/2024,23:00:00,No injuries
444,01/02/2024,03:37:00,No injuries
445,01/02/2024,16:00:00,Injured
446,01/02/2024,10:50:00,Injured
447,01/02/2024,06:40:00,No injuries
448,01/02/2024,04:50:00,Injured
449,01/02/2024,14:54:00,No injuries
450,01/02/2024,20:30:00,No injuries
451,01/02/2024,15:00:00,No injuries
452,01/02/2024,03:01:00,No injuries
453,01/02/2024,07:30:00,No injuries
454,01/02/2024,19:01:00,No injuries
455,01/02/2024,19:01:00,No injuries
456,01/02/2024,18:11:00,No injuries
457,01/02/2024,08:20:00,No injuries
458,01/02/2024,15:20:00,Injured
459,01/02/2024,20:10:00,No injuries
460,01/02/2024,08:39:00,Injured
461,01/02/2024,07:30:00,No injuries
462,01/02/2024,04:27:00,No injuries
463,01/02/2024,13:45:00,No injuries
464,01/02/2024,15:25:00,Injured
465,01/02/2024,13:27:00,No injuries
466,01/02/2024,15:45:00,No injuries
467,01/02/2024,18:12:00,Injured
468,01/02/2024,06:45:00,Injured
469,01/02/2024,15:34:00,Injured
470,01/02/2024,22:00:00,No injuries
471,01/02/2024,13:30:00,Injured
472,01/02/2024,08:00:00,No injuries
473,01/02/2024,17:00:00,No injuries
474,01/02/2024,15:45:00,Injured
475,01/02/2024,11:12:00,Injured
476,01/02/2024,12:30:00,Injured
477,01/02/2024,11:20:00,No injuries
478,01/02/2024,14:59:00,No injuries
479,01/02/2024,10:05:00,No injuries
480,01/02/2024,11:00:00,No injuries
481,01/02/2024,09:00:00,No injuries
482,01/02/2024,15:10:00,No injuries
483,01/02/2024,09:15:00,No injuries
484,01/02/2024,09:45:00,No injuries
485,01/02/2024,17:05:00,Injured
486,01/02/2024,13:51:00,No injuries
487,01/02/2024,15:15:00,No injuries
488,01/02/2024,18:30:00,No injuries
489,01/02/2024,10:29:00,Injured
490,01/02/2024,12:00:00,No injuries
491,01/02/2024,09:00:00,No injuries
492,01/02/2024,13:00:00,No injuries
493,01/02/2024,13:00:00,No injuries
494,01/02/2024,07:00:00,Injured
495,01/02/2024,10:06:00,Injured
496,01/02/2024,19:47:00,Injured
497,01/02/2024,00:05:00,Deadly
498,01/02/2024,22:30:00,No injuries
499,01/02/2024,08:30:00,No injuries
500,01/02/2024,23:00:00,Injured
501,01/02/2024,06:35:00,No injuries
502,01/02/2024,10:00:00,No injuries
503,01/02/2024,20:01:00,Injured
504,01/02/2024,20:00:00,No injuries
505,01/03/2024,21:45:00,No injuries
506,01/03/2024,20:39:00,Injured
507,01/03/2024,12:31:00,Injured
508,01/03/2024,15:00:00,No injuries
509,01/03/2024,10:55:00,Injured
510,01/03/2024,19:38:00,Injured
511,01/03/2024,20:09:00,No injuries
512,01/03/2024,09:20:00,No injuries
513,01/03/2024,00:55:00,No injuries
514,01/03/2024,22:50:00,No injuries
515,01/03/2024,16:30:00,No injuries
516,01/03/2024,14:12:00,No injuries
517,01/03/2024,09:10:00,No injuries
518,01/03/2024,12:45:00,Injured
519,01/03/2024,14:30:00,No injuries
520,01/03/2024,00:01:00,No injuries
521,01/03/2024,08:15:00,No injuries
522,01/03/2024,16:00:00,No injuries
523,01/03/2024,17:19:00,No injuries
524,01/03/2024,07:49:00,No injuries
525,01/03/2024,22:00:00,Injured
526,01/03/2024,20:10:00,Injured
527,01/03/2024,19:00:00,Injured
528,01/03/2024,17:58:00,Injured
529,01/03/2024,12:03:00,Injured
530,01/03/2024,15:00:00,Injured
531,01/03/2024,13:37:00,No injuries
532,01/03/2024,11:20:00,No injuries
533,01/03/2024,17:09:00,Injured
534,01/03/2024,06:49:00,No injuries
535,01/03/2024,07:15:00,Injured
536,01/03/2024,17:00:00,No injuries
537,01/03/2024,15:00:00,No injuries
538,01/03/2024,22:16:00,No injuries
539,01/03/2024,20:44:00,Injured
540,01/03/2024,14:33:00,No injuries
541,01/03/2024,08:47:00,No injuries
542,01/03/2024,03:00:00,No injuries
543,01/03/2024,17:54:00,Injured
544,01/03/2024,15:35:00,No injuries
545,01/03/2024,20:33:00,No injuries
546,01/03/2024,17:40:00,Injured
547,01/03/2024,07:51:00,Injured
548,01/03/2024,11:23:00,Injured
549,01/03/2024,08:31:00,Injured
550,01/03/2024,22:38:00,Injured
551,01/03/2024,10:15:00,Injured
552,01/03/2024,19:35:00,No injuries
553,01/03/2024,07:00:00,Injured
554,01/03/2024,16:00:00,No injuries
555,01/03/2024,20:00:00,No injuries
556,01/03/2024,17:46:00,Injured
557,01/03/2024,18:30:00,Injured
558,01/03/2024,04:45:00,No injuries
559,01/03/2024,15:30:00,No injuries
560,01/03/2024,08:24:00,Injured
561,01/03/2024,17:07:00,Injured
562,01/03/2024,03:00:00,No injuries
563,01/03/2024,15:40:00,Injured
564,01/03/2024,11:50:00,No injuries
565,01/03/2024,22:00:00,Injured
566,01/03/2024,11:30:00,No injuries
567,01/03/2024,08:50:00,No injuries
568,01/03/2024,10:15:00,Injured
569,01/03/2024,06:10:00,No injuries
570,01/03/2024,06:55:00,Injured
571,01/03/2024,00:30:00,No injuries
572,01/03/2024,07:03:00,No injuries
573,01/03/2024,05:52:00,No injuries
574,01/03/2024,14:43:00,Injured
575,01/03/2024,17:17:00,Injured
576,01/03/2024,00:00:00,No injuries
577,01/03/2024,11:45:00,No injuries
578,01/03/2024,09:10:00,No injuries
579,01/03/2024,15:13:00,Injured
580,01/03/2024,10:31:00,Injured
581,01/03/2024,23:30:00,No injuries
582,01/03/2024,10:00:00,No injuries
583,01/03/2024,08:26:00,Injured
584,01/03/2024,10:45:00,No injuries
585,01/03/2024,18:30:00,No injuries
586,01/03/2024,07:25:00,No injuries
587,01/03/2024,01:12:00,No injuries
588,01/03/2024,10:00:00,Injured
589,01/03/2024,11:15:00,No injuries
590,01/03/2024,14:25:00,No injuries
591,01/03/2024,17:58:00,No injuries
592,01/03/2024,04:30:00,No injuries
593,01/03/2024,14:00:00,No injuries
594,01/03/2024,00:00:00,Injured
595,01/03/2024,13:15:00,Injured
596,01/03/2024,12:50:00,No injuries
597,01/03/2024,07:00:00,No injuries
598,01/03/2024,15:22:00,No injuries
599,01/03/2024,00:00:00,No injuries
600,01/03/2024,21:20:00,Injured
601,01/03/2024,07:04:00,Injured
602,01/03/2024,12:15:00,Injured
603,01/03/2024,21:55:00,Injured
604,01/03/2024,09:05:00,Injured
605,01/03/2024,16:59:00,No injuries
606,01/03/2024,19:17:00,Injured
607,01/03/2024,14:30:00,Injured
608,01/03/2024,08:34:00,No injuries
609,01/03/2024,14:48:00,Injured
610,01/03/2024,08:21:00,Injured
611,01/03/2024,06:29:00,No injuries
612,01/03/2024,19:48:00,No injuries
613,01/03/2024,18:56:00,No injuries
614,01/03/2024,12:40:00,No injuries
615,01/03/2024,06:57:00,Injured
616,01/03/2024,11:20:00,Injured
617,01/03/2024,08:40:00,No injuries
618,01/03/2024,08:09:00,No injuries
619,01/03/2024,12:30:00,Injured
620,01/03/2024,19:50:00,Injured
621,01/03/2024,16:10:00,No injuries
622,01/03/2024,09:07:00,No injuries
623,01/03/2024,21:42:00,Injured
624,01/03/2024,16:00:00,No injuries
625,01/03/2024,21:45:00,No injuries
626,01/03/2024,02:00:00,Injured
627,01/03/2024,15:20:00,No injuries
628,01/03/2024,17:16:00,No injuries
629,01/03/2024,13:33:00,No injuries
630,01/03/2024,04:00:00,No injuries
631,01/03/2024,05:50:00,Injured
632,01/03/2024,17:00:00,Injured
633,01/03/2024,18:38:00,Injured
634,01/03/2024,09:05:00,Injured
635,01/03/2024,21:35:00,Injured
636,01/03/2024,16:08:00,Injured
637,01/03/2024,02:03:00,Injured
638,01/03/2024,08:25:00,Injured
639,01/03/2024,13:40:00,No injuries
640,01/03/2024,15:20:00,Injured
641,01/03/2024,12:50:00,Injured
642,01/03/2024,18:10:00,No injuries
643,01/03/2024,14:00:00,No injuries
644,01/03/2024,00:00:00,No injuries
645,01/03/2024,17:25:00,No injuries
646,01/03/2024,00:00:00,Injured
647,01/03/2024,11:00:00,No injuries
648,01/03/2024,09:01:00,No injuries
649,01/03/2024,16:30:00,No injuries
650,01/03/2024,20:30:00,No injuries
651,01/03/2024,19:50:00,Injured
652,01/03/2024,10:15:00,No injuries
653,01/03/2024,10:31:00,No injuries
654,01/03/2024,11:50:00,No injuries
655,01/03/2024,08:20:00,Injured
656,01/03/2024,14:47:00,No injuries
657,01/03/2024,12:08:00,Injured
658,01/03/2024,13:20:00,No injuries
659,01/03/2024,10:10:00,Injured
660,01/03/2024,09:35:00,No injuries
661,01/03/2024,17:19:00,No injuries
662,01/03/2024,18:45:00,No injuries
663,01/03/2024,09:04:00,No injuries
664,01/03/2024,22:45:00,Injured
665,01/03/2024,16:33:00,No injuries
666,01/03/2024,18:48:00,Injured
667,01/03/2024,15:49:00,Injured
668,01/03/2024,01:43:00,No injuries
669,01/03/2024,11:21:00,Injured
670,01/03/2024,05:48:00,No injuries
671,01/03/2024,13:35:00,No injuries
672,01/03/2024,11:19:00,Injured
673,01/03/2024,20:41:00,No injuries
674,01/03/2024,18:36:00,Injured
675,01/03/2024,19:00:00,No injuries
676,01/03/2024,19:00:00,No injuries
677,01/03/2024,16:55:00,No injuries
678,01/03/2024,23:35:00,Injured
679,01/03/2024,14:57:00,No injuries
680,01/03/2024,18:00:00,No injuries
681,01/03/2024,15:00:00,Injured
682,01/03/2024,09:41:00,No injuries
683,01/03/2024,18:09:00,No injuries
684,01/03/2024,16:22:00,No injuries
685,01/03/2024,09:25:00,Injured
686,01/03/2024,09:30:00,Injured
687,01/03/2024,17:28:00,No injuries
688,01/03/2024,05:06:00,No injuries
689,01/03/2024,14:40:00,Injured
690,01/03/2024,22:03:00,Injured
691,01/03/2024,00:00:00,No injuries
692,01/03/2024,10:15:00,Injured
693,01/03/2024,15:40:00,Injured
694,01/03/2024,08:05:00,No injuries
695,01/03/2024,13:41:00,No injuries
696,01/03/2024,19:28:00,Injured
697,01/03/2024,17:15:00,Injured
698,01/03/2024,09:49:00,Injured
699,01/03/2024,09:00:00,No injuries
700,01/03/2024,17:47:00,Injured
701,01/03/2024,17:50:00,No injuries
702,01/03/2024,18:05:00,Injured
703,01/03/2024,22:30:00,No injuries
704,01/03/2024,22:30:00,No injuries
705,01/03/2024,07:50:00,Injured
706,01/03/2024,06:15:00,No injuries
707,01/03/2024,10:30:00,Injured
708,01/03/2024,08:44:00,Injured
709,01/03/2024,22:30:00,No injuries
710,01/03/2024,14:28:00,Injured
711,01/03/2024,22:41:00,No injuries
712,01/03/2024,01:00:00,No injuries
